rna-b4413	CP000247.1	96.364	55	2	0	1	55	15668	15722	4.72e-20	91.6
rna-b4577	CP000247.1	89.083	229	19	4	1	226	79909	80134	5.37e-76	279
rna-b4414	CP000247.1	100.000	136	0	0	1	136	194185	194320	6.59e-68	252
rna-b4585	CP000247.1	100.000	84	0	0	1	84	575650	575733	2.93e-39	156
rna-b4700	CP000247.1	91.667	60	3	2	1	59	645203	645261	3.15e-17	82.4
rna-b4417	CP000247.1	100.000	79	0	0	1	79	902205	902127	1.65e-36	147
rna-b4418	CP000247.1	99.408	169	1	0	1	169	1137468	1137636	1.77e-84	307
rna-b4420	CP000247.1	98.413	63	1	0	5	67	1292365	1292427	4.83e-26	111
rna-b4422	CP000247.1	98.413	63	0	1	4	66	1292365	1292426	1.70e-25	110
rna-b4424	CP000247.1	96.923	65	1	1	4	68	1292365	1292428	6.38e-25	108
rna-b4425	CP000247.1	95.930	172	5	2	1	171	1310047	1309877	1.41e-75	278
rna-b4426	CP000247.1	97.368	76	2	0	21	96	1421542	1421467	2.11e-31	130
rna-b4699	CP000247.1	100.000	122	0	0	1	122	1428429	1428550	3.51e-60	226
rna-b4427	CP000247.1	97.248	109	3	0	1	109	1435510	1435618	5.20e-48	185
rna-b4597	CP000247.1	98.438	64	1	0	1	64	1467600	1467537	1.26e-26	113
rna-b4429	CP000247.1	98.214	56	1	0	1	56	1468213	1468268	2.90e-22	99.0
rna-b4698	CP000247.1	98.980	98	1	0	1	98	1570171	1570074	2.74e-45	176
rna-b4430	CP000247.1	97.059	68	2	0	1	68	1679740	1679673	3.81e-27	115
rna-b4431	CP000247.1	100.000	106	0	0	1	106	1685158	1685263	2.32e-51	196
rna-b4432	CP000247.1	98.795	249	3	0	1	249	1834916	1835164	1.99e-125	444
rna-b4433	CP000247.1	99.174	121	1	0	1	121	1835134	1835014	5.82e-58	219
rna-b1954	CP000247.1	100.000	87	0	0	1	87	1930241	1930155	6.60e-41	161
rna-b4603	CP000247.1	100.000	90	0	0	1	90	1938575	1938664	1.50e-42	167
rna-b4435	CP000247.1	85.922	206	27	2	1	204	352362	352567	1.05e-57	219
rna-b4435	CP000247.1	97.826	46	1	0	159	204	3168744	3168789	5.19e-16	80.5
rna-b4437	CP000247.1	95.588	136	6	0	1	136	2190435	2190570	6.68e-58	219
rna-b4437	CP000247.1	94.118	136	8	0	1	136	2190763	2190898	1.45e-54	207
rna-b4438	CP000247.1	100.000	87	0	0	1	87	2209403	2209489	6.60e-41	161
rna-b4439	CP000247.1	98.925	93	1	0	1	93	2350132	2350224	1.55e-42	167
rna-b4440	CP000247.1	94.426	305	16	1	1	304	2663267	2663571	1.47e-132	468
rna-b4441	CP000247.1	98.913	184	2	0	1	184	2696737	2696554	4.16e-91	329
rna-b4608	CP000247.1	100.000	65	0	0	13	77	2705948	2706012	9.69e-29	121
rna-b4609	CP000247.1	100.000	143	0	0	1	143	2742160	2742018	8.97e-72	265
rna-b4442	CP000247.1	100.000	78	0	0	1	78	2792086	2792163	5.85e-36	145
rna-b4408	CP000247.1	98.645	369	5	0	1	369	2917931	2917563	0.0	654
rna-b4443	CP000247.1	100.000	206	0	0	1	206	2936155	2936360	1.28e-106	381
rna-b4444	CP000247.1	98.864	88	1	0	1	88	3006844	3006757	8.66e-40	158
rna-b4445	CP000247.1	98.780	82	1	0	1	82	3007041	3006960	1.74e-36	147
rna-b2911	CP000247.1	100.000	183	0	0	1	183	3073845	3074027	6.87e-94	339
rna-b4446	CP000247.1	96.429	140	5	0	1	140	3074711	3074850	8.88e-62	231
rna-b4611	CP000247.1	96.479	142	4	1	1	142	3307026	3306886	2.51e-62	233
rna-b4449	CP000247.1	100.000	174	0	0	1	174	3421675	3421848	6.53e-89	322
rna-b4450	CP000247.1	100.000	121	0	0	1	121	3460884	3461004	1.25e-59	224
rna-b4451	CP000247.1	100.000	90	0	0	1	90	3700212	3700123	1.48e-42	167
rna-b4704	CP000247.1	98.551	69	1	0	1	69	3772457	3772389	2.32e-29	122
rna-b4452	CP000247.1	100.000	105	0	0	1	105	3779268	3779372	8.25e-51	195
rna-b4454	CP000247.1	95.455	66	3	0	1	66	3814515	3814580	2.20e-24	106
rna-b4614	CP000247.1	100.000	29	0	0	2	30	3834901	3834929	2.06e-09	54.7
rna-b4456	CP000247.1	100.000	207	0	0	1	207	4169282	4169488	3.59e-107	383
rna-b4707	CP000247.1	98.810	252	3	0	1	252	4225935	4226186	4.34e-127	449
rna-b3864	CP000247.1	100.000	109	0	0	1	109	4255593	4255701	5.16e-53	202
rna-b4457	CP000247.1	98.776	245	3	0	1	245	4256731	4256975	3.27e-123	436
rna-b4458	CP000247.1	100.000	110	0	0	1	110	4367880	4367771	1.45e-53	204
rna-b4459	CP000247.1	100.000	140	0	0	1	140	4503164	4503025	4.07e-70	259
rna-b4625	CP000247.1	93.506	77	5	0	1	77	4874467	4874543	4.51e-27	115
